depth	sample	verified	found	recall	pass_calls
10	O016	17	5	29.41176470588235	5
10	O002	33	6	18.181818181818183	6
10	O017	16	11	68.75	11
10	B019	14	1	7.142857142857143	1
10	O003	27	6	22.22222222222222	6
10	B005	52	1	1.9230769230769231	1
10	O018	15	1	6.666666666666667	1
10	O011	16	5	31.25	5
10	B006	49	6	12.244897959183673	6
10	O012	17	5	29.41176470588235	5
10	B007	45	8	17.77777777777778	8
10	O013	17	8	47.05882352941177	8
10	B008	39	15	38.46153846153846	15
10	B015	17	1	5.882352941176471	1
10	B001	334	83	24.850299401197606	83
10	O014	17	5	29.41176470588235	5
10	B016	17	1	5.882352941176471	1
10	B002	90	49	54.44444444444444	49
10	B017	15	6	40.0	6
10	B003	70	31	44.285714285714285	31
10	B018	16	5	31.25	5
10	B004	55	13	23.636363636363637	13
10	B011	24	7	29.166666666666668	7
10	O010	18	10	55.55555555555556	10
10	B012	24	9	37.5	9
10	B013	19	4	21.05263157894737	4
10	O008	19	7	36.8421052631579	7
10	B014	17	2	11.764705882352942	2
10	O009	17	2	11.764705882352942	2
10	O020	15	8	53.333333333333336	8
10	O004	24	2	8.333333333333334	2
10	B010	25	12	48.0	12
10	O019	15	1	6.666666666666667	1
10	O005	23	2	8.695652173913043	2
10	O006	21	5	23.80952380952381	5
10	O007	20	4	20.0	4
10	B009	28	8	28.571428571428573	8
10	B020	15	5	33.333333333333336	5
10	O015	16	1	6.25	1
10	O001	169	10	5.9171597633136095	10
15	O016	17	7	41.1764705882353	7
15	O002	33	7	21.21212121212121	7
15	O017	16	14	87.5	14
15	B019	14	4	28.571428571428573	4
15	O003	27	9	33.333333333333336	9
15	B005	52	9	17.307692307692307	9
15	O018	15	2	13.333333333333334	2
15	O011	16	5	31.25	5
15	B006	49	13	26.53061224489796	13
15	O012	17	5	29.41176470588235	5
15	B007	45	22	48.888888888888886	22
15	O013	17	11	64.70588235294117	11
15	B008	39	19	48.717948717948715	19
15	B015	17	3	17.647058823529413	3
15	B001	334	172	51.49700598802395	172
15	O014	17	7	41.1764705882353	7
15	B016	17	1	5.882352941176471	1
15	B002	90	70	77.77777777777777	70
15	B017	15	7	46.666666666666664	7
15	B003	70	49	70.0	49
15	B018	16	5	31.25	5
15	B004	55	13	23.636363636363637	13
15	B011	24	11	45.833333333333336	11
15	O010	18	14	77.77777777777777	14
15	B012	24	13	54.166666666666664	13
15	B013	19	12	63.1578947368421	12
15	O008	19	10	52.63157894736842	10
15	B014	17	8	47.05882352941177	8
15	O009	17	4	23.529411764705884	4
15	O020	15	12	80.0	12
15	O004	24	5	20.833333333333332	5
15	B010	25	17	68.0	17
15	O019	15	6	40.0	6
15	O005	23	9	39.130434782608695	9
15	O006	21	10	47.61904761904762	10
15	O007	20	6	30.0	6
15	B009	28	14	50.0	14
15	B020	15	9	60.0	9
15	O015	16	1	6.25	1
15	O001	169	27	15.976331360946746	27
20	O016	17	9	52.94117647058823	9
20	O002	33	13	39.39393939393939	13
20	O017	16	15	93.75	15
20	B019	14	5	35.714285714285715	5
20	O003	27	13	48.148148148148145	13
20	B005	52	11	21.153846153846153	11
20	O018	15	3	20.0	3
20	O011	16	10	62.5	10
20	B006	49	22	44.89795918367347	22
20	O012	17	7	41.1764705882353	7
20	B007	45	27	60.0	27
20	O013	17	10	58.8235294117647	10
20	B008	39	19	48.717948717948715	19
20	B015	17	6	35.294117647058826	6
20	B001	334	236	70.65868263473054	236
20	O014	17	8	47.05882352941177	8
20	B016	17	3	17.647058823529413	3
20	B002	90	77	85.55555555555556	77
20	B017	15	6	40.0	6
20	B003	70	54	77.14285714285714	54
20	B018	16	10	62.5	10
20	B004	55	18	32.72727272727273	18
20	B011	24	14	58.333333333333336	14
20	O010	18	14	77.77777777777777	14
20	B012	24	15	62.5	15
20	B013	19	10	52.63157894736842	10
20	O008	19	12	63.1578947368421	12
20	B014	17	7	41.1764705882353	7
20	O009	17	6	35.294117647058826	6
20	O020	15	12	80.0	12
20	O004	24	8	33.333333333333336	8
20	B010	25	19	76.0	19
20	O019	15	5	33.333333333333336	5
20	O005	23	10	43.47826086956522	10
20	O006	21	12	57.142857142857146	12
20	O007	20	9	45.0	9
20	B009	28	16	57.142857142857146	16
20	B020	15	10	66.66666666666667	10
20	O015	16	4	25.0	4
20	O001	169	48	28.402366863905325	48
30	O016	17	11	64.70588235294117	11
30	O002	33	15	45.45454545454545	15
30	O017	16	15	93.75	15
30	B019	14	11	78.57142857142857	11
30	O003	27	12	44.44444444444444	12
30	B005	52	23	44.23076923076923	23
30	O018	15	5	33.333333333333336	5
30	O011	16	12	75.0	12
30	B006	49	31	63.265306122448976	31
30	O012	17	11	64.70588235294117	11
30	B007	45	28	62.22222222222222	28
30	O013	17	12	70.58823529411765	12
30	B008	39	28	71.7948717948718	28
30	B015	17	7	41.1764705882353	7
30	B001	334	283	84.73053892215569	283
30	O014	17	11	64.70588235294117	11
30	B016	17	11	64.70588235294117	11
30	B002	90	81	90.0	81
30	B017	15	7	46.666666666666664	7
30	B003	70	57	81.42857142857143	57
30	B018	16	11	68.75	11
30	B004	55	35	63.63636363636363	35
30	B011	24	15	62.5	15
30	O010	18	14	77.77777777777777	14
30	B012	24	20	83.33333333333333	20
30	B013	19	16	84.21052631578948	16
30	O008	19	16	84.21052631578948	16
30	B014	17	8	47.05882352941177	8
30	O009	17	9	52.94117647058823	9
30	O020	15	14	93.33333333333333	14
30	O004	24	9	37.5	9
30	B010	25	19	76.0	19
30	O019	15	7	46.666666666666664	7
30	O005	23	13	56.52173913043478	13
30	O006	21	14	66.66666666666667	14
30	O007	20	14	70.0	14
30	B009	28	20	71.42857142857143	20
30	B020	15	11	73.33333333333333	11
30	O015	16	7	43.75	7
30	O001	169	110	65.08875739644971	110
