sample	cohort	dir	bam	bai	size_MB	log	vcf	normal	n_truth
B001	brca	True	True	True	322.5	True	True	True	1
B002	brca	True	True	True	318.9	True	True	True	11
B003	brca	True	True	True	311.6	True	True	True	13
B004	brca	True	True	True	433.6	True	True	True	8
B005	brca	True	False	False	0.0	False	False	True	0
B006	brca	True	True	True	339.4	True	True	True	1
B007	brca	True	True	True	339.1	True	True	True	2
B008	brca	True	True	True	315.1	True	True	True	1
B009	brca	True	False	False	0.0	False	False	True	0
B010	brca	True	False	False	0.0	False	False	True	0
B011	brca	True	True	True	330.5	True	True	True	1
B012	brca	True	True	True	301.6	True	True	True	2
B013	brca	True	True	True	320.9	True	True	True	2
B014	brca	True	True	True	335.1	True	True	True	2
B015	brca	True	False	False	0.0	False	False	True	0
B016	brca	True	True	True	294.5	True	True	True	2
B017	brca	True	True	True	327.5	True	True	True	1
B018	brca	True	True	True	309.2	True	True	True	3
B019	brca	True	True	True	346.4	True	True	True	1
B020	brca	True	True	True	341.5	True	True	True	3
O001	ov	True	False	False	0.0	False	False	True	0
O002	ov	True	True	True	323.4	True	True	True	2
O003	ov	True	False	False	0.0	False	False	True	0
O004	ov	True	True	True	312.3	True	True	True	2
O005	ov	True	False	False	0.0	False	False	True	0
O006	ov	True	True	True	417.9	True	True	True	3
O007	ov	True	False	False	0.0	False	False	True	0
O008	ov	True	True	True	351.7	True	True	True	1
O009	ov	True	False	False	0.0	False	False	True	0
O010	ov	True	False	False	0.0	False	False	True	0
O011	ov	True	True	True	353.9	True	True	True	2
O012	ov	True	True	True	318.4	True	True	True	1
O013	ov	True	True	True	331.3	True	True	True	1
O014	ov	True	True	True	330.7	True	True	True	1
O015	ov	True	True	True	367.3	True	True	True	3
O016	ov	True	True	True	325.7	True	True	True	1
O017	ov	True	True	True	317.7	True	True	True	3
O018	ov	True	True	True	340.5	True	True	True	1
O019	ov	True	False	False	0.0	False	False	True	0
O020	ov	True	False	False	0.0	False	False	True	0
