sample	injected	found	pass_total	pass_indels	pass_snvs
B001	1	1	291	1	290
B002	11	10	91	10	81
B003	13	12	72	12	60
B004	8	5	47	5	42
B006	1	0	35	0	35
B007	2	2	36	2	34
B008	1	1	31	1	30
B011	1	1	16	1	15
B012	2	2	22	2	20
B013	2	2	18	2	16
B014	2	1	9	1	8
B016	2	2	14	2	12
B017	1	1	8	1	7
B018	3	3	14	3	11
B019	1	1	13	1	12
B020	3	1	12	1	11
O002	2	2	19	2	17
O004	2	2	13	2	11
O006	3	2	19	2	17
O008	1	1	18	1	17
O011	2	2	14	2	12
O012	1	1	12	1	11
O013	1	1	14	1	13
O014	1	1	12	1	11
O015	3	1	9	1	8
O016	1	1	14	1	13
O017	3	2	17	2	15
O018	1	1	7	1	6
