sample	cohort	mutations	peptides	strong	weak	with_binder	n_alleles
B001	brca	294	11110	433	1152	247	5
B002	brca	76	2888	74	261	69	5
B003	brca	63	2394	78	243	58	6
B004	brca	46	1748	87	297	43	6
B005	brca	47	1786	55	134	40	4
B006	brca	43	1606	73	263	42	6
B007	brca	43	1634	55	245	41	6
B008	brca	34	1292	45	146	33	5
B009	brca	28	1064	34	175	25	5
B010	brca	22	822	26	149	19	4
B011	brca	20	760	20	124	20	6
B012	brca	20	760	35	98	19	6
B013	brca	15	570	16	55	13	5
B014	brca	15	540	48	103	14	6
B015	brca	15	570	26	57	14	6
B016	brca	15	570	11	33	15	4
B017	brca	13	494	31	72	13	6
B018	brca	15	570	8	57	12	4
B019	brca	13	494	17	46	12	6
B020	brca	10	380	21	64	10	5
O001	ov	150	5619	136	392	119	4
O002	ov	31	1178	40	175	29	5
O003	ov	22	836	26	43	17	5
O004	ov	22	814	50	194	22	6
O005	ov	21	798	42	97	21	6
O006	ov	18	684	15	34	14	4
O007	ov	19	722	24	68	14	5
O008	ov	14	532	23	61	13	5
O009	ov	16	608	20	113	15	5
O010	ov	15	570	24	89	15	6
O011	ov	16	608	29	63	14	5
O012	ov	16	608	38	117	16	6
O013	ov	17	646	23	87	17	6
O014	ov	15	570	16	52	11	5
O015	ov	12	456	38	94	12	6
O016	ov	16	608	10	70	15	6
O017	ov	15	570	43	125	14	6
O018	ov	14	532	12	24	11	5
O019	ov	11	418	15	41	10	4
O020	ov	12	434	13	38	11	5
