sample	cohort	status	injected	recovered	recall	median_vaf	false_pos
B001	brca	ok	340	290	85.3	0.22	
B002	brca	ok	91	80	87.9	0.384	
B003	brca	ok	70	60	85.7	0.346	
B004	brca	ok	58	42	72.4	0.162	
B005	brca	ok	52	24	46.2	0.116	
B006	brca	ok	49	35	71.4	0.136	
B007	brca	ok	47	34	72.3	0.222	
B008	brca	ok	40	30	75.0	0.216	
B009	brca	ok	29	21	72.4	0.229	
B010	brca	ok	25	19	76.0	0.296	
B011	brca	ok	24	15	62.5	0.226	
B012	brca	ok	24	20	83.3	0.218	
B013	brca	ok	20	16	80.0	0.297	
B014	brca	ok	18	8	44.4	0.195	
B015	brca	ok	17	6	35.3	0.112	
B016	brca	ok	17	12	70.6	0.174	
B017	brca	ok	16	7	43.8	0.164	
B018	brca	ok	16	11	68.8	0.223	
B019	brca	ok	15	12	80.0	0.231	
B020	brca	ok	15	11	73.3	0.25	
O001	ov	ok	174	120	69.0	0.103	
O002	ov	ok	34	17	50.0	0.154	
O003	ov	ok	27	13	48.1	0.123	
O004	ov	ok	24	11	45.8	0.127	
O005	ov	ok	24	15	62.5	0.227	
O006	ov	ok	21	17	81.0	0.255	
O007	ov	ok	20	15	75.0	0.213	
O008	ov	ok	19	17	89.5	0.263	
O009	ov	ok	18	12	66.7	0.145	
O010	ov	ok	18	14	77.8	0.352	
O011	ov	ok	18	12	66.7	0.266	
O012	ov	ok	18	11	61.1	0.154	
O013	ov	ok	18	13	72.2	0.323	
O014	ov	ok	17	11	64.7	0.204	
O015	ov	ok	17	8	47.1	0.149	
O016	ov	ok	17	13	76.5	0.223	
O017	ov	ok	16	15	93.8	0.569	
O018	ov	ok	15	6	40.0	0.123	
O019	ov	ok	15	8	53.3	0.115	
O020	ov	ok	15	14	93.3	0.373	
