	patients
TP53	28
TTN	24
SYNE1	14
RYR1	13
MUC16	13
HUWE1	12
HMCN1	11
FAT3	10
USH2A	10
DNAH17	9
LRP2	9
APOB	9
MDN1	9
GON4L	9
PRUNE2	8
AHNAK	8
MYH4	8
PCDH15	8
CSMD1	8
F8	8
UTRN	8
DNAH9	8
CUBN	8
PIK3CA	8
MYCBP2	8
UBR4	8
F5	7
MYH1	7
DNAH5	7
CSMD3	7
SACS	7
DYNC1H1	7
FLG2	7
SRCAP	7
ASPM	7
SPTA1	7
LRBA	7
USP34	7
KIAA1109	7
OBSCN	7
FAT1	7
HYDIN	7
MYH7	7
VWF	6
DMD	6
FCGBP	6
MXRA5	6
EPB41L3	6
DYSF	6
FRAS1	6
GPR112	6
SPEN	6
ABCA13	6
CMYA5	6
CDH1	6
TG	6
AHCTF1	6
DOCK10	6
LRP1B	6
VPS13B	6
CACNA1A	6
PLXNA4	6
SYNE2	6
CASR	6
DNAH8	5
BRCA2	5
ANK2	5
DNAH1	5
VPS13C	5
MYH9	5
TNXB	5
AHNAK2	5
SPHKAP	5
COL6A6	5
SI	5
AKAP9	5
SMG1	5
SCN2A	5
COL6A3	5
APC	5
MAP1A	5
TKTL1	5
COL5A3	5
PROX1	5
TMPRSS15	5
TACC2	5
LYST	5
NALCN	5
MYO10	5
MYO16	5
PAPPA2	5
MUC17	5
DST	5
ABCB4	5
MYH2	5
FER1L6	5
LRP1	5
SCN7A	5
NEB	5
ERBB2	4
BAZ2B	4
ADAMTSL3	4
HEPHL1	4
PDE4DIP	4
EMR3	4
TOP2A	4
AKAP4	4
RB1	4
ANK3	4
MEGF8	4
SCN3A	4
FLNC	4
FRMPD4	4
ALMS1	4
TMC2	4
ADCY8	4
SPTBN2	4
BSN	4
ALK	4
STAB2	4
SAMD9	4
ZFHX4	4
UBC	4
PRDM9	4
COL4A4	4
ZNF236	4
GATA3	4
TSHZ2	4
TRPM3	4
SVEP1	4
HSPG2	4
FAT4	4
MYH15	4
PPP1R3A	4
PCLO	4
MTOR	4
HERC1	4
LRRC7	4
KCNA4	4
ENAM	4
PRKDC	4
GOLGB1	4
C2	4
MAP3K1	4
PTPRZ1	4
ZDBF2	3
ANO4	3
CYP4F2	3
IGSF10	3
SCN1A	3
ADAMTS20	3
RPGRIP1	3
FAM135B	3
BIRC6	3
PIWIL1	3
MEP1A	3
RP1L1	3
CYP11B1	3
ZNF614	3
SMC1A	3
ARHGAP36	3
FREM2	3
NIPBL	3
WDFY4	3
MED12L	3
NLRP3	3
ZNF292	3
LRRK2	3
FGD6	3
PLEKHG1	3
ASH1L	3
CREBBP	3
SLC39A12	3
RUNX1	3
DPP10	3
CEP350	3
MACF1	3
WDR64	3
ZIM3	3
RANBP2	3
TANC1	3
DMXL2	3
NCAM2	3
UNC13C	3
NBAS	3
XIRP2	3
DOCK11	3
NF1	3
MYBPC2	3
NLRP12	3
TBX3	3
PDZD2	3
TNNI3K	3
MORC1	3
NCOR1	3
TEX15	3
NLRP11	3
PTPRT	3
USP9X	3
DNAH3	3
PAK3	3
PCDH9	3
PTEN	3
SCN10A	3
CDH23	3
TPR	3
KCNH6	3
CNTNAP5	3
DOCK4	3
DXO	2
CD5L	2
ZNF536	2
NOTCH2	2
COL14A1	2
PRRC2A	2
AGBL1	2
RNF17	2
ACTN3	2
HERC2	2
ZNF804A	2
CHD4	2
MYH13	2
MYT1L	2
JMJD1C	2
DPCR1	2
FMN2	2
TRPC7	2
PCDHA9	2
NCOR2	2
LPA	2
MSH5	2
ZNF665	2
NRAP	2
ADAMTS19	2
MYH11	2
ZNF804B	2
BRCA1	2
MGA	2
PPP1R10	2
COL12A1	2
ST18	2
VWA7	2
TMEM132D	2
SKIV2L	2
ATP2B3	2
KCNH1	2
KCNK18	2
MYO3A	2
NRXN1	2
COL17A1	2
NOS1	2
MAGEC1	2
ATRX	2
CACNA1S	2
CDK12	2
ARID1A	2
DCC	2
KCNH7	2
PPP1R15A	2
DYNC2H1	2
PLG	2
KCNH8	2
NLRC5	2
GALNTL5	2
PIK3R1	2
CUL9	2
TNIK	2
ABCF1	2
XKR4	2
AOC2	2
GABBR1	2
DHX16	2
FOXA1	2
FAM47B	1
TINAG	1
C6orf48	1
MRPS18B	1
TRPM1	1
CA6	1
ABCB5	1
TUBB	1
DSG4	1
SLC44A4	1
ATAT1	1
TRIM39	1
CYP2A13	1
TFAP2D	1
PIWIL3	1
PZP	1
HLA-C	1
ERAP2	1
PLCH1	1
RTL1	1
ATM	1
FAM47A	1
GRK1	1
BCORL1	1
GRID2	1
ADAM29	1
TMC3	1
TRIM42	1
LY6G6C	1
PLCZ1	1
IER3	1
ADCY2	1
EHMT2	1
KIAA0754	1
TNR	1
MICB	1
ZP4	1
FAM47C	1
TRPC5	1
ABHD16A	1
HSPA1L	1
CANX	1
CCHCR1	1
PRG4	1
CDH9	1
KIF21A	1
CENPE	1
NCAN	1
EVI2A	1
KLLN	1
PRAMEF4	1
CNGB3	1
SLFN14	1
MED12	1
CRB1	1
FSHR	1
EPHA5	1
DDAH2	1
OR5H1	1
DIO3	1
HLA-DRA	1
SAGE1	1
CTNNA3	1
TNF	1
CYP11B2	1
ERAP1	1
SLITRK3	1
ATF6B	1
MDC1	1
TRIM10	1
NOTCH4	1
STAG3	1
RGSL1	1
SETX	1
DDR1	1
MON2	1
GPR50	1
CAPZA3	1
MAP4K1	1
MYH8	1
TRIM26	1
OR2G6	1
KPRP	1
CCT8L2	1
