sample	cohort	mf_mutations	mf_peptides	mf_strong	mf_weak	mf_mut_with_binder	pv_epitopes	pv_strong	pv_weak	pv_genes_with_strong
B001	brca	294	11110	433	1152	157	49690	319	764	103
B002	brca	76	2888	74	261	33	13510	73	252	35
B003	brca	63	2394	78	243	37	12540	72	197	29
B004	brca	46	1748	87	297	24	8208	50	148	21
B005	brca	47	1786	55	134	26	3496	22	41	12
B006	brca	43	1606	73	263	29	6900	51	97	23
B007	brca	43	1634	55	245	24	7068	25	77	12
B008	brca	34	1292	45	146	20	4560	38	74	13
B009	brca	28	1064	34	175	15	3800	29	59	8
B010	brca	22	822	26	149	10	2832	25	54	11
B011	brca	20	760	20	124	9	2964	7	39	4
B012	brca	20	760	35	98	12	4104	38	102	12
B013	brca	15	570	16	55	10	2470	15	42	7
B014	brca	15	540	48	103	12	1368	7	29	5
B015	brca	15	570	26	57	11	1368	11	17	4
B016	brca	15	570	11	33	7	1672	12	24	4
B017	brca	13	494	31	72	8	1368	6	28	2
B018	brca	15	570	8	57	7	1520	7	18	5
B019	brca	13	494	17	46	6	2280	24	51	7
B020	brca	10	380	21	64	8	1710	7	26	3
O001	ov	150	5619	136	392	79	16516	119	283	46
O002	ov	31	1178	40	175	18	2850	24	57	7
O003	ov	22	836	26	43	8	2280	7	39	4
O004	ov	22	814	50	194	17	2148	12	35	6
O005	ov	21	798	42	97	15	2964	13	37	7
O006	ov	18	684	15	34	7	2432	12	28	8
O007	ov	19	722	24	68	8	2850	37	65	9
O008	ov	14	532	23	61	9	2300	17	32	9
O009	ov	16	608	20	113	9	2280	18	36	8
O010	ov	15	570	24	89	8	2508	17	48	5
O011	ov	16	608	29	63	9	2090	8	23	4
O012	ov	16	608	38	117	10	2280	29	50	8
O013	ov	17	646	23	87	9	2736	11	44	6
O014	ov	15	570	16	52	6	1900	7	25	4
O015	ov	12	456	38	94	8	1596	21	36	5
O016	ov	16	608	10	70	8	2964	19	48	9
O017	ov	15	570	43	125	13	3420	27	78	10
O018	ov	14	532	12	24	5	950	5	13	2
O019	ov	11	418	15	41	6	912	9	17	3
O020	ov	12	434	13	38	7	1900	5	23	4
