sample	cohort	epitopes	strong	weak	genes
B001	brca	49690	319	764	103
B002	brca	13510	73	252	35
B003	brca	12540	72	197	29
B004	brca	8208	50	148	21
B005	brca	3496	22	41	12
B006	brca	6900	51	97	23
B007	brca	7068	25	77	12
B008	brca	4560	38	74	13
B009	brca	3800	29	59	8
B010	brca	2832	25	54	11
B011	brca	2964	7	39	4
B012	brca	4104	38	102	12
B013	brca	2470	15	42	7
B014	brca	1368	7	29	5
B015	brca	1368	11	17	4
B016	brca	1672	12	24	4
B017	brca	1368	6	28	2
B018	brca	1520	7	18	5
B019	brca	2280	24	51	7
B020	brca	1710	7	26	3
O001	ov	16516	119	283	46
O002	ov	2850	24	57	7
O003	ov	2280	7	39	4
O004	ov	2148	12	35	6
O005	ov	2964	13	37	7
O006	ov	2432	12	28	8
O007	ov	2850	37	65	9
O008	ov	2300	17	32	9
O009	ov	2280	18	36	8
O010	ov	2508	17	48	5
O011	ov	2090	8	23	4
O012	ov	2280	29	50	8
O013	ov	2736	11	44	6
O014	ov	1900	7	25	4
O015	ov	1596	21	36	5
O016	ov	2964	19	48	9
O017	ov	3420	27	78	10
O018	ov	950	5	13	2
O019	ov	912	9	17	3
O020	ov	1900	5	23	4
