sample	pass_total	pass_subs	outside_truth
B001	290	290	0
B002	81	80	0
B003	60	60	0
B004	42	42	0
B005	24	24	0
B006	35	35	0
B007	34	34	0
B008	30	30	0
B009	21	21	0
B010	19	19	0
B011	15	15	0
B012	20	20	0
B013	16	16	0
B014	8	8	0
B015	6	6	0
B016	12	12	0
B017	7	7	0
B018	11	11	0
B019	12	12	0
B020	11	11	0
O001	120	120	0
O002	17	17	0
O003	13	13	0
O004	11	11	0
O005	15	15	0
O006	17	17	0
O007	15	15	0
O008	17	17	0
O009	12	12	0
O010	14	14	0
O011	12	12	0
O012	11	11	0
O013	13	13	0
O014	11	11	0
O015	8	8	0
O016	13	13	0
O017	15	15	0
O018	6	6	0
O019	8	8	0
O020	14	14	0
