sample	cohort	backbone	superpop	size_MB	indexed	truncated	reads	mapped_pct	dup_pct	proper_pair_pct	insert_size	mean_mapq	mapq0_pct	panel_mean_depth	panel_median_depth	panel_p10	panel_p90	uncovered_pct	below_10x_pct	hla_A_depth	hla_B_depth	hla_C_depth	rg_present
B001	brca	HG01958	AFR	326.1	True	False	6254213	99.9	10.01	98.82	430	58.8	0.7	34.0	34.0	26.0	43.0	0.2	0.39	27.3	33.7	30.1	True
B002	brca	HG02485	AFR	322.7	True	False	6092922	99.88	11.54	98.75	451	59.0	0.6	32.5	32.0	24.0	41.0	0.12	0.26	35.0	30.8	28.6	True
B003	brca	HG00132	EUR	314.9	True	False	6194528	99.89	11.56	98.84	431	58.9	0.6	33.1	33.0	25.0	42.0	0.12	0.27	27.9	30.4	29.4	True
B004	brca	HG01089	AMR	438.2	True	False	8268550	99.87	9.61	98.68	441	58.6	0.7	45.2	45.0	35.0	56.0	0.19	0.33	35.3	42.8	40.8	True
B005	brca	HG00285	EUR	351.1	True	False	6610383	99.87	9.46	98.51	447	58.5	0.8	36.1	36.0	27.0	45.0	0.21	0.38	30.2	33.9	31.7	True
B006	brca	NA20888	SAS	342.9	True	False	6409483	99.86	10.68	98.75	447	58.8	0.7	34.6	34.0	26.0	44.0	0.13	0.3	30.7	32.9	30.3	True
B007	brca	NA19059	EAS	343.4	True	False	6442181	99.87	10.29	98.64	450	58.7	0.8	34.9	34.0	26.0	44.0	0.02	0.12	24.6	31.6	32.2	True
B008	brca	HG00259	EUR	318.6	True	False	5957786	99.85	9.72	98.69	445	58.9	0.7	32.5	32.0	24.0	41.0	0.17	0.36	27.0	31.3	28.7	True
B009	brca	HG03805	SAS	355.4	True	False	6766235	99.88	10.37	98.73	455	59.1	0.6	36.6	36.0	28.0	46.0	0.22	0.4	36.0	34.1	33.5	True
B010	brca	HG01080	AMR	349.7	True	False	6380106	99.88	8.07	98.65	445	58.8	0.7	35.4	35.0	27.0	44.0	0.33	0.49	22.6	33.1	33.8	True
B011	brca	HG02775	SAS	333.6	True	False	5745299	99.87	8.69	98.85	451	59.2	0.5	31.7	31.0	24.0	40.0	0.42	0.66	19.6	29.9	25.4	True
B012	brca	HG02144	AFR	305.3	True	False	5675845	99.87	10.03	98.74	442	59.0	0.5	30.8	30.0	22.0	39.0	0.02	0.14	27.4	30.6	29.5	True
B013	brca	HG02661	SAS	324.9	True	False	6066959	99.85	10.47	98.53	450	58.7	0.8	32.8	32.0	24.0	41.0	0.15	0.37	25.0	30.9	32.0	True
B014	brca	NA18582	EAS	339.2	True	False	6506216	99.86	10.99	98.71	434	58.8	0.7	35.0	35.0	26.0	44.0	0.15	0.32	27.6	33.0	33.7	True
B015	brca	NA20289	AFR	353.8	True	False	6777891	99.89	8.35	98.76	441	58.9	0.5	37.5	37.0	28.0	47.0	0.05	0.12	45.7	33.6	36.0	True
B016	brca	NA19779	AMR	298.3	True	False	5767851	99.86	9.87	98.67	420	58.6	0.8	31.4	31.0	23.0	40.0	0.18	0.35	29.7	30.4	28.3	True
B017	brca	HG03212	AFR	331.6	True	False	6318178	99.86	10.33	98.69	428	58.8	0.6	34.2	34.0	26.0	43.0	0.21	0.39	38.6	31.8	30.7	True
B018	brca	HG02339	AFR	312.8	True	False	5831910	99.87	11.25	98.85	439	58.9	0.7	31.3	31.0	23.0	39.0	0.05	0.14	28.9	27.7	29.4	True
B019	brca	NA20505	EUR	350.3	True	False	5828398	99.82	5.78	98.56	457	59.0	0.6	33.1	33.0	25.0	42.0	0.08	0.19	26.5	31.3	28.7	True
B020	brca	NA18579	EAS	345.6	True	False	6222455	99.85	7.8	98.65	445	58.5	0.8	34.6	34.0	26.0	43.0	0.03	0.12	33.7	34.5	32.0	True
O001	ov	HG00327	EUR	326.6	True	False	6345047	99.9	7.38	98.76	429	59.0	0.5	35.5	35.0	26.0	45.0	0.23	0.4	28.7	35.0	34.8	True
O002	ov	HG02778	SAS	327.0	True	False	5926349	99.88	7.2	98.63	438	58.9	0.6	33.2	33.0	25.0	42.0	0.12	0.26	26.4	33.0	32.6	True
O003	ov	HG01702	EUR	317.5	True	False	6023248	99.88	10.79	98.59	437	59.0	0.5	32.4	32.0	24.0	41.0	0.18	0.38	30.1	31.5	29.7	True
O004	ov	HG03772	SAS	315.9	True	False	6050495	99.9	10.43	98.86	453	59.0	0.6	32.8	32.0	25.0	41.0	0.04	0.14	32.4	29.6	29.3	True
O005	ov	HG01378	AMR	462.6	True	False	8398400	99.84	8.32	98.61	441	58.6	0.8	46.5	46.0	36.0	57.0	0.14	0.28	33.4	44.3	42.1	True
O006	ov	HG01248	AMR	423.6	True	False	8220774	99.88	9.89	98.72	440	58.7	0.7	44.7	44.0	35.0	55.0	0.08	0.17	42.2	43.2	39.8	True
O007	ov	HG01441	AMR	337.0	True	False	6301349	99.86	10.83	98.73	462	59.0	0.5	33.9	34.0	25.0	43.0	0.34	0.49	22.1	32.6	33.8	True
O008	ov	HG01847	EAS	355.8	True	False	6574371	99.87	10.73	98.73	449	58.6	0.8	35.4	35.0	27.0	44.0	0.02	0.09	30.9	36.2	35.0	True
O009	ov	HG00171	EUR	375.0	True	False	6352910	99.82	5.42	98.45	440	58.9	0.6	36.2	36.0	27.0	45.0	0.2	0.38	28.6	33.2	32.5	True
O010	ov	HG04054	SAS	417.3	True	False	7224247	99.83	9.27	98.61	434	58.8	0.7	39.5	39.0	30.0	49.0	0.02	0.1	33.8	37.8	35.1	True
O011	ov	HG03741	SAS	358.6	True	False	6572704	99.86	8.12	98.62	412	58.8	0.6	36.5	36.0	27.0	46.0	0.02	0.07	31.3	37.1	32.2	True
O012	ov	NA18552	EAS	321.9	True	False	6066398	99.89	9.32	98.75	448	59.1	0.4	33.2	33.0	25.0	42.0	0.17	0.34	29.9	31.2	29.1	True
O013	ov	HG01058	AMR	335.4	True	False	6469651	99.88	10.9	98.68	450	59.0	0.5	34.8	35.0	26.0	44.0	0.15	0.35	26.0	31.0	30.7	True
O014	ov	HG01516	EUR	334.3	True	False	6386272	99.91	11.41	98.85	454	58.9	0.6	34.2	34.0	26.0	43.0	0.13	0.28	27.7	32.2	32.1	True
O015	ov	HG03595	SAS	372.3	True	False	7191108	99.89	10.32	98.51	453	58.9	0.6	38.9	39.0	30.0	48.0	0.17	0.32	37.8	35.6	31.5	True
O016	ov	HG03488	SAS	330.0	True	False	6252905	99.88	9.26	98.6	443	59.0	0.5	34.3	34.0	26.0	43.0	0.23	0.44	31.7	32.7	31.5	True
O017	ov	HG00130	EUR	320.8	True	False	5735099	99.85	7.95	98.72	456	58.6	0.7	31.9	32.0	24.0	40.0	0.11	0.32	22.8	29.3	28.5	True
O018	ov	NA20531	EUR	343.7	True	False	5805666	99.85	6.71	98.81	453	58.9	0.7	32.7	32.0	25.0	41.0	0.24	0.5	26.4	29.0	29.4	True
O019	ov	HG02555	AFR	343.5	True	False	6489926	99.87	8.98	98.62	456	58.7	0.7	35.7	35.0	27.0	45.0	0.18	0.33	35.5	32.5	32.0	True
O020	ov	HG00543	EAS	367.9	True	False	7106570	99.88	8.98	98.77	445	58.9	0.7	39.1	39.0	30.0	48.0	0.04	0.13	31.2	35.0	34.4	True
