sample	cohort	injected	landed	landed_pct	in_mhc	mhc_landed	median_target_vaf	median_observed_vaf	median_depth	normal_contam	vaf_r	vaf_ratio
B001	brca	340	334	98.2	5	4	0.22	0.2	33.0	3	0.742	0.926
B002	brca	91	90	98.9	5	4	0.384	0.365	32.0	0	0.87	0.937
B003	brca	70	70	100.0	1	1	0.346	0.325	33.0	1	0.98	0.947
B004	brca	58	55	94.8	5	2	0.162	0.139	45.0	0	0.978	0.93
B005	brca	52	52	100.0	0	0	0.116	0.107	34.5	0	0.948	0.916
B006	brca	49	49	100.0	3	3	0.136	0.129	37.0	0	0.877	0.928
B007	brca	47	45	95.7	4	3	0.222	0.205	36.0	2	0.41	0.941
B008	brca	40	39	97.5	1	0	0.216	0.208	32.0	1	0.99	0.951
B009	brca	29	28	96.6	0	0	0.229	0.22	37.0	0	0.994	0.949
B010	brca	25	25	100.0	0	0	0.296	0.263	38.0	0	0.99	0.946
B011	brca	24	24	100.0	1	1	0.226	0.203	32.0	0	0.994	0.945
B012	brca	24	24	100.0	0	0	0.218	0.193	29.5	0	0.992	0.916
B013	brca	20	19	95.0	1	0	0.297	0.275	33.0	2	0.963	0.949
B014	brca	18	17	94.4	1	1	0.195	0.206	35.0	1	0.966	0.949
B015	brca	17	17	100.0	3	3	0.112	0.108	37.0	0	0.878	0.983
B016	brca	17	17	100.0	0	0	0.174	0.154	31.0	0	0.965	0.927
B017	brca	16	15	93.8	0	0	0.164	0.125	30.0	0	0.986	0.908
B018	brca	16	16	100.0	0	0	0.223	0.196	30.5	0	0.982	0.92
B019	brca	15	14	93.3	1	1	0.231	0.197	28.0	0	0.932	0.885
B020	brca	15	15	100.0	1	1	0.25	0.229	39.0	0	0.912	0.929
O001	ov	174	169	97.1	5	1	0.103	0.103	34.0	0	0.953	0.927
O002	ov	34	33	97.1	4	3	0.154	0.158	31.0	2	0.936	0.985
O003	ov	27	27	100.0	0	0	0.123	0.114	32.0	1	0.992	0.918
O004	ov	24	24	100.0	0	0	0.127	0.121	30.0	0	0.963	0.963
O005	ov	24	23	95.8	0	0	0.227	0.19	47.0	0	0.814	0.936
O006	ov	21	21	100.0	2	2	0.255	0.229	44.0	0	0.979	0.928
O007	ov	20	20	100.0	3	3	0.213	0.197	31.5	1	0.963	0.955
O008	ov	19	19	100.0	0	0	0.263	0.25	35.0	0	0.998	0.941
O009	ov	18	17	94.4	1	0	0.145	0.133	37.5	2	0.999	0.91
O010	ov	18	18	100.0	1	1	0.352	0.347	37.5	0	0.996	0.96
O011	ov	18	16	88.9	2	0	0.266	0.274	35.5	1	0.997	0.947
O012	ov	18	17	94.4	2	1	0.154	0.133	34.5	0	0.997	0.917
O013	ov	18	17	94.4	1	0	0.323	0.263	31.5	0	0.996	0.937
O014	ov	17	17	100.0	0	0	0.204	0.179	33.0	0	0.994	0.924
O015	ov	17	16	94.1	0	0	0.149	0.077	43.0	0	0.982	0.736
O016	ov	17	17	100.0	1	1	0.223	0.216	35.0	0	0.923	0.965
O017	ov	16	16	100.0	1	1	0.569	0.536	28.0	0	0.996	0.949
O018	ov	15	15	100.0	0	0	0.123	0.111	34.0	0	0.682	0.869
O019	ov	15	15	100.0	0	0	0.115	0.125	32.0	1	0.998	0.975
O020	ov	15	15	100.0	0	0	0.373	0.341	41.0	0	0.996	0.957
