sample	cohort	truth	pass	recall	median_vaf	seen_any	seen_pct	filtered_away	vcf_records	vcf_pass	not_in_truth	not_in_truth_pass	precision
B001	brca	340	290	85.3	0.22	314	92.4	24	683	290	368	0	100.0
B002	brca	91	80	87.9	0.384	83	91.2	3	472	81	388	0	98.8
B003	brca	70	60	85.7	0.346	68	97.1	8	404	60	336	0	100.0
B004	brca	58	42	72.4	0.162	53	91.4	11	901	42	848	0	100.0
B005	brca	52	24	46.2	0.116	50	96.2	26	476	24	426	0	100.0
B006	brca	49	35	71.4	0.136	45	91.8	10	551	35	506	0	100.0
B007	brca	47	34	72.3	0.222	41	87.2	7	572	34	531	0	100.0
B008	brca	40	30	75.0	0.216	38	95.0	8	372	30	334	0	100.0
B009	brca	29	21	72.4	0.229	27	93.1	6	364	21	337	0	100.0
B010	brca	25	19	76.0	0.296	25	100.0	6	451	19	426	0	100.0
B011	brca	24	15	62.5	0.226	21	87.5	6	192	15	171	0	100.0
B012	brca	24	20	83.3	0.218	24	100.0	4	290	20	266	0	100.0
B013	brca	20	16	80.0	0.297	17	85.0	1	312	16	295	0	100.0
B014	brca	18	8	44.4	0.195	15	83.3	7	250	8	235	0	100.0
B015	brca	17	6	35.3	0.112	13	76.5	7	549	6	536	0	100.0
B016	brca	17	12	70.6	0.174	17	100.0	5	276	12	259	0	100.0
B017	brca	16	7	43.8	0.164	15	93.8	8	485	7	470	0	100.0
B018	brca	16	11	68.8	0.223	15	93.8	4	172	11	157	0	100.0
B019	brca	15	12	80.0	0.231	12	80.0	0	238	12	226	0	100.0
B020	brca	15	11	73.3	0.25	14	93.3	3	257	11	243	0	100.0
O001	ov	174	120	69.0	0.103	162	93.1	42	491	120	329	0	100.0
O002	ov	34	17	50.0	0.154	27	79.4	10	297	17	270	0	100.0
O003	ov	27	13	48.1	0.123	27	100.0	14	417	13	390	0	100.0
O004	ov	24	11	45.8	0.127	23	95.8	12	378	11	355	0	100.0
O005	ov	24	15	62.5	0.227	22	91.7	7	945	15	923	0	100.0
O006	ov	21	17	81.0	0.255	18	85.7	1	869	17	851	0	100.0
O007	ov	20	15	75.0	0.213	17	85.0	2	312	15	295	0	100.0
O008	ov	19	17	89.5	0.263	18	94.7	1	302	17	284	0	100.0
O009	ov	18	12	66.7	0.145	17	94.4	5	439	12	422	0	100.0
O010	ov	18	14	77.8	0.352	17	94.4	3	450	14	433	0	100.0
O011	ov	18	12	66.7	0.266	16	88.9	4	264	12	248	0	100.0
O012	ov	18	11	61.1	0.154	16	88.9	5	353	11	337	0	100.0
O013	ov	18	13	72.2	0.323	16	88.9	3	410	13	394	0	100.0
O014	ov	17	11	64.7	0.204	16	94.1	5	421	11	405	0	100.0
O015	ov	17	8	47.1	0.149	9	52.9	1	886	8	877	0	100.0
O016	ov	17	13	76.5	0.223	16	94.1	3	395	13	379	0	100.0
O017	ov	16	15	93.8	0.569	15	93.8	0	266	15	251	0	100.0
O018	ov	15	6	40.0	0.123	12	80.0	6	186	6	174	0	100.0
O019	ov	15	8	53.3	0.115	15	100.0	7	609	8	594	0	100.0
O020	ov	15	14	93.3	0.373	15	100.0	1	639	14	624	0	100.0
