sample	backbone	pop	in_reference	A_called	A_truth	A_correct	A_n_called	A_n_truth	A_bucket	B_called	B_truth	B_correct	B_n_called	B_n_truth	B_bucket	C_called	C_truth	C_correct	C_n_called	C_n_truth	C_bucket
B001	HG01958	AFR	True	02:02/02:02	02:01/66:01	0	2	2	both wrong	07:02/35:01	07:02/35:01	2	2	2	both correct	04:01/15:05	04:01/15:05	2	2	2	both correct
B002	HG02485	AFR	True	30:01/31:01	30:01/31:01	2	2	2	both correct	42:01/51:01	42:01/51:01	2	2	2	both correct	17:01/17:01	15:02/17:01	1	2	2	one correct, one wrong
B003	HG00132	EUR	True	02:33/68:01	02:01/68:01	1	2	2	one correct, one wrong	35:01/44:02	35:03/44:02	1	2	2	one correct, one wrong	04:01/05:01	04:01/05:01	2	2	2	both correct
B004	HG01089	AMR	True	02:01/32:01	02:01/32:01	2	2	2	both correct	40:02/57:01	40:02/57:01	2	2	2	both correct	02:02/06:02	02:02/06:02	2	2	2	both correct
B005	HG00285	EUR	True	02:01/68:01	02:01/68:01	2	2	2	both correct	15:01/40:01	15:01/40:01	2	2	2	both correct		03:04/03:04	0	0	2	not called
B006	NA20888	SAS	True	01:01/68:01	01:01/68:01	2	2	2	both correct	40:06/57:01	40:06/57:01	2	2	2	both correct	06:02/15:02	06:02/15:02	2	2	2	both correct
B007	NA19059	EAS	True	02:01/23:01	02:06/24:02	0	2	2	both wrong	46:01/52:01	46:01/52:01	2	2	2	both correct	01:02/12:02	01:02/12:02	2	2	2	both correct
B008	HG00259	EUR	True	02:01/11:01	02:01/11:01	2	2	2	both correct	13:02/40:01	13:02/40:01	2	2	2	both correct	06:02/06:02	03:04/06:02	1	2	2	one correct, one wrong
B009	HG03805	SAS	True	11:01/11:01	11:01/11:01	2	2	2	both correct	15:02/15:32	15:02/15:32	2	2	2	both correct	08:21/12:03	08:01/12:03	1	2	2	one correct, one wrong
B010	HG01080	AMR	True	24:02/24:02	23:17/24:02	1	2	2	one correct, one wrong	15:03/15:03	15:03/15:18	1	2	2	one correct, one wrong	02:02/07:04	02:10/07:04	1	2	2	one correct, one wrong
B011	HG02775	SAS	True	23:01/24:02	23:01/23:17	1	2	2	one correct, one wrong	40:06/50:01	40:06/50:01	2	2	2	both correct	06:02/12:02	06:02/12:02	2	2	2	both correct
B012	HG02144	AFR	True	23:01/33:01	24:02/33:01	1	2	2	one correct, one wrong	57:01/78:01	57:01/78:01	2	2	2	both correct	06:02/16:01	06:02/16:01	2	2	2	both correct
B013	HG02661	SAS	True	02:01/23:01	02:01/24:02	1	2	2	one correct, one wrong	08:01/35:03	08:01/35:03	2	2	2	both correct	07:02/07:02	04:01/07:02	1	2	2	one correct, one wrong
B014	NA18582	EAS	True	11:01/23:01	11:01/24:02	1	2	2	one correct, one wrong	40:01/52:01	40:01/52:01	2	2	2	both correct	07:02/12:02	07:02/12:02	2	2	2	both correct
B015	NA20289	AFR	True	30:01/30:02	30:01/30:02	2	2	2	both correct	42:01/53:01	42:01/53:01	2	2	2	both correct	04:01/17:01	04:01/17:01	2	2	2	both correct
