sample	cohort	mutations_predicted	peptides	strong	weak	mut_with_binder	pct_with_binder	truth_snv	truth_missense	reached_pct	n_alleles	n_unique_alleles	skipped	peptide_rows	unique_peptides	len_min	len_max	rank_median	rank_min	rank_distinct
B001	brca	294	11110	433	1152	157	53.4	340	313	93.9	6	5	19.0	55550	11110	8	11	62.74	0.0017	844
B002	brca	76	2888	74	261	33	43.4	91	82	92.7	6	5	6.0	14440	2888	8	11	62.74	0.0062	437
B003	brca	63	2394	78	243	37	58.7	70	65	96.9	6	6	2.0	14364	2394	8	11	62.74	0.0021	421
B004	brca	46	1748	87	297	24	52.2	58	51	90.2	6	6	5.0	10488	1748	8	11	62.74	0.024	461
B005	brca	47	1786	55	134	26	55.3	52	50	94.0	4	4	3.0	7144	1786	8	11	99.29	0.0062	309
B006	brca	43	1606	73	263	29	67.4	49	45	95.6	6	6	2.0	9636	1606	8	11	62.74	0.0062	424
B007	brca	43	1634	55	245	24	55.8	47	44	97.7	6	6	1.0	9804	1634	8	11	62.74	0.0109	396
B008	brca	34	1292	45	146	20	58.8	40	34	100.0	6	5		6460	1292	8	11	62.74	0.0214	306
B009	brca	28	1064	34	175	15	53.6	29	28	100.0	6	5		5320	1064	8	11	62.74	0.033	322
B010	brca	22	822	26	149	10	45.5	25	24	91.7	6	4	2.0	3288	822	8	11	62.74	0.0166	283
B011	brca	20	760	20	124	9	45.0	24	22	90.9	6	6	2.0	4560	760	8	11	62.74	0.0084	259
B012	brca	20	760	35	98	12	60.0	24	22	90.9	6	6	2.0	4560	760	8	11	62.74	0.0021	263
B013	brca	15	570	16	55	10	66.7	20	16	93.8	6	5	1.0	2850	570	8	11	62.74	0.0861	177
B014	brca	15	540	48	103	12	80.0	18	16	93.8	6	6	1.0	3240	540	8	11	62.74	0.0267	267
B015	brca	15	570	26	57	11	73.3	17	17	88.2	6	6	2.0	3420	570	8	11	62.74	0.0299	191
B016	brca	15	570	11	33	7	46.7	17	15	100.0	4	4		2280	570	8	11	62.74	0.0073	141
B017	brca	13	494	31	72	8	61.5	16	14	92.9	6	6	1.0	2964	494	8	11	62.74	0.0356	212
B018	brca	15	570	8	57	7	46.7	16	15	100.0	6	4		2280	570	8	11	62.74	0.2183	174
B019	brca	13	494	17	46	6	46.2	15	13	100.0	6	6		2964	494	8	11	62.74	0.0109	165
B020	brca	10	380	21	64	8	80.0	15	12	83.3	6	5	2.0	1900	380	8	11	46.22	0.0267	195
O001	ov	150	5619	136	392	79	52.7	174	159	94.3	6	4	9.0	22476	5619	8	11	62.74	0.0003	528
O002	ov	31	1178	40	175	18	58.1	34	31	100.0	6	5		5890	1178	8	11	62.74	0.024	333
O003	ov	22	836	26	43	8	36.4	27	25	88.0	6	5	3.0	4180	836	8	11	62.74	0.0214	173
O004	ov	22	814	50	194	17	77.3	24	23	95.7	6	6	1.0	4884	814	8	11	46.22	0.024	363
O005	ov	21	798	42	97	15	71.4	24	22	95.5	6	6	1.0	4788	798	8	11	62.74	0.0073	260
O006	ov	18	684	15	34	7	38.9	21	20	90.0	6	4	2.0	2736	684	8	11	62.74	0.0383	146
O007	ov	19	722	24	68	8	42.1	20	19	100.0	6	5		3610	722	8	11	62.74	0.0177	204
O008	ov	14	532	23	61	9	64.3	19	15	93.3	6	5	1.0	2660	532	8	11	62.74	0.0121	191
O009	ov	16	608	20	113	9	56.2	18	16	100.0	6	5		3040	608	8	11	62.74	0.0109	246
O010	ov	15	570	24	89	8	53.3	18	15	100.0	6	6		3420	570	8	11	62.74	0.0344	234
O011	ov	16	608	29	63	9	56.2	18	16	100.0	6	5		3040	608	8	11	62.74	0.0025	194
O012	ov	16	608	38	117	10	62.5	18	17	94.1	6	6	1.0	3648	608	8	11	62.74	0.0299	269
O013	ov	17	646	23	87	9	52.9	18	17	100.0	6	6		3876	646	8	11	62.74	0.0131	229
O014	ov	15	570	16	52	6	40.0	17	16	93.8	6	5	1.0	2850	570	8	11	62.74	0.0109	170
O015	ov	12	456	38	94	8	66.7	17	12	100.0	6	6		2736	456	8	11	62.74	0.0021	242
O016	ov	16	608	10	70	8	50.0	17	17	94.1	6	6	1.0	3648	608	8	11	62.74	0.1055	197
O017	ov	15	570	43	125	13	86.7	16	16	93.8	6	6	1.0	3420	570	8	11	46.22	0.0214	288
O018	ov	14	532	12	24	5	35.7	15	14	100.0	6	5		2660	532	8	11	62.74	0.0052	131
O019	ov	11	418	15	41	6	54.5	15	12	91.7	4	4	1.0	1672	418	8	11	62.74	0.0154	137
O020	ov	12	434	13	38	7	58.3	15	12	100.0	6	5		2170	434	8	11	62.74	0.0539	144
