sample	cohort	vep_records	vep_annotated	epitopes	strong	weak	scored	mutations	genes	pvac_filtered	unique_binder_peptides	alleles_used	mf_mutations	mf_strong	genes_shared	genes_mf_only	genes_pv_only	jaccard
B001	brca	683	683	49690	319	764	49690	263	157	3	275	5	294	433	101	55	2	0.639
B002	brca	472	472	13510	73	252	13510	71	64	0	66	5	76	74	33	30	2	0.508
B003	brca	404	404	12540	72	197	12540	55	49	0	63	6	63	78	28	23	1	0.538
B004	brca	901	901	8208	50	148	8208	36	35	7	44	6	46	87	19	20	2	0.463
B005	brca	476	476	3496	22	41	3496	23	21	1	22	4	47	55	12	21	0	0.364
B006	brca	551	551	6900	51	97	6900	31	30	2	47	6	43	73	22	17	1	0.55
B007	brca	572	572	7068	25	77	7068	31	27	2	22	6	43	55	12	21	0	0.364
B008	brca	372	372	4560	38	74	4560	24	23	0	37	5	34	45	13	19	0	0.406
B009	brca	364	364	3800	29	59	3800	20	18	2	19	5	28	34	8	14	0	0.364
B010	brca	451	451	2832	25	54	2832	19	19	0	23	4	22	26	10	9	1	0.5
B011	brca	192	192	2964	7	39	2964	13	12	0	6	6	20	20	4	15	0	0.211
B012	brca	290	290	4104	38	102	4104	18	17	0	31	6	20	35	10	8	2	0.5
B013	brca	312	312	2470	15	42	2470	13	13	0	15	5	15	16	6	6	1	0.462
B014	brca	250	250	1368	7	29	1368	6	6	0	7	6	15	48	5	7	0	0.417
B015	brca	549	549	1368	11	17	1368	6	6	0	9	6	15	26	2	11	2	0.133
B016	brca	276	276	1672	12	24	1672	11	9	0	12	4	15	11	4	9	0	0.308
B017	brca	485	485	1368	6	28	1368	6	5	0	5	6	13	31	2	10	0	0.167
B018	brca	172	172	1520	7	18	1520	10	10	0	7	4	15	8	5	6	0	0.455
B019	brca	238	238	2280	24	51	2280	10	10	0	19	6	13	17	7	4	0	0.636
B020	brca	257	257	1710	7	26	1710	9	9	0	7	5	10	21	2	8	1	0.182
O001	ov	491	491	16516	119	283	16516	110	84	8	113	4	150	136	40	52	6	0.408
O002	ov	297	297	2850	24	57	2850	15	15	0	19	5	31	40	7	19	0	0.269
O003	ov	417	417	2280	7	39	2280	12	12	1	7	5	22	26	4	13	0	0.235
O004	ov	378	378	2148	12	35	2148	10	10	1	9	6	22	50	5	15	1	0.238
O005	ov	945	945	2964	13	37	2964	13	11	4	12	6	21	42	7	10	0	0.412
O006	ov	869	869	2432	12	28	2432	16	16	2	12	4	18	15	7	7	1	0.467
O007	ov	312	312	2850	37	65	2850	15	15	0	28	5	19	24	9	5	0	0.643
O008	ov	302	302	2300	17	32	2300	13	13	2	17	5	14	23	9	4	0	0.692
O009	ov	439	439	2280	18	36	2280	12	12	0	17	5	16	20	8	7	0	0.533
O010	ov	450	450	2508	17	48	2508	11	10	1	12	6	15	24	5	8	0	0.385
O011	ov	264	264	2090	8	23	2090	11	10	1	7	5	16	29	4	9	0	0.308
O012	ov	353	353	2280	29	50	2280	10	10	0	26	6	16	38	7	6	1	0.5
O013	ov	410	410	2736	11	44	2736	12	12	0	11	6	17	23	6	10	0	0.375
O014	ov	421	421	1900	7	25	1900	10	10	1	7	5	15	16	3	8	1	0.25
O015	ov	886	886	1596	21	36	1596	7	7	0	18	6	12	38	5	2	0	0.714
O016	ov	395	395	2964	19	48	2964	13	13	0	18	6	16	10	8	7	1	0.5
O017	ov	266	266	3420	27	78	3420	15	15	0	24	6	15	43	9	5	1	0.6
O018	ov	186	186	950	5	13	950	5	2	0	5	5	14	12	2	5	0	0.286
O019	ov	609	609	912	9	17	912	6	6	0	8	4	11	15	2	7	1	0.2
O020	ov	639	639	1900	5	23	1900	10	9	0	4	5	12	13	4	6	0	0.4
