sample	injected	landed	ins	dels	median_depth
B001	1	1	0	1	30.0
B002	11	11	3	8	29.0
B003	13	13	3	10	32.0
B004	8	8	0	8	45.0
B006	1	1	0	1	23.0
B007	2	2	0	2	33.5
B008	1	1	0	1	35.0
B011	1	1	0	1	35.0
B012	2	2	0	2	30.0
B013	2	2	0	2	32.5
B014	2	2	1	1	31.5
B016	2	2	0	2	29.5
B017	1	1	0	1	30.0
B018	3	3	3	0	27.0
B019	1	1	0	1	34.0
B020	3	3	3	0	34.0
O002	2	2	0	2	31.5
O004	2	2	0	2	31.5
O006	3	3	0	3	42.0
O008	1	1	0	1	40.0
O011	2	2	0	2	30.0
O012	1	1	0	1	33.0
O013	1	1	0	1	24.0
O014	1	1	1	0	27.0
O015	3	3	1	2	46.0
O016	1	1	0	1	50.0
O017	3	3	0	3	28.0
O018	1	1	1	0	32.0
