chrom	start	end	name	gencode_name	category	shared_both_cohorts	gene_type	strand	length_bp
chr1	8944866	8946965	CA6	CA6	DRIVER	False	protein_coding	+	2099
chr1	8948262	8953651	CA6	CA6	DRIVER	False	protein_coding	+	5389
chr1	8956136	8960002	CA6	CA6	DRIVER	False	protein_coding	+	3866
chr1	8961586	8963656	CA6	CA6	DRIVER	False	protein_coding	+	2070
chr1	8966658	8968816	CA6	CA6	DRIVER	False	protein_coding	+	2158
chr1	8969866	8971981	CA6	CA6	DRIVER	False	protein_coding	+	2115
chr1	8973346	8976092	CA6	CA6	DRIVER	False	protein_coding	+	2746
chr1	11105534	11118086	MTOR	MTOR	DRIVER	False	protein_coding	-	12552
chr1	11120094	11123126	MTOR	MTOR	DRIVER	False	protein_coding	-	3032
chr1	11123497	11135466	MTOR	MTOR	DRIVER	False	protein_coding	-	11969
chr1	11137953	11140660	MTOR	MTOR	DRIVER	False	protein_coding	-	2707
chr1	11143647	11147791	MTOR	MTOR	DRIVER	False	protein_coding	-	4144
chr1	11149125	11151226	MTOR	MTOR	DRIVER	False	protein_coding	-	2101
chr1	11156151	11158291	MTOR	MTOR	DRIVER	False	protein_coding	-	2140
chr1	11166441	11168517	MTOR	MTOR	DRIVER	False	protein_coding	-	2076
chr1	11192557	11194730	MTOR	MTOR	DRIVER	False	protein_coding	-	2173
chr1	11198257	11200703	MTOR	MTOR	DRIVER	False	protein_coding	-	2446
chr1	11203560	11205703	MTOR	MTOR	DRIVER	False	protein_coding	-	2143
chr1	11208311	11214566	MTOR	MTOR	DRIVER	False	protein_coding	-	6255
chr1	11215143	11217234	MTOR	MTOR	DRIVER	False	protein_coding	-	2091
chr1	11224471	11226757	MTOR	MTOR	DRIVER	False	protein_coding	-	2286
chr1	11227667	11229918	MTOR	MTOR	DRIVER	False	protein_coding	-	2251
chr1	11229924	11235265	MTOR	MTOR	DRIVER	False	protein_coding	-	5341
chr1	11236842	11246270	MTOR	MTOR	DRIVER	False	protein_coding	-	9428
chr1	11246624	11249094	MTOR	MTOR	DRIVER	False	protein_coding	-	2470
chr1	11252838	11254973	MTOR	MTOR	DRIVER	False	protein_coding	-	2135
chr1	11254991	11260450	MTOR	MTOR	DRIVER	False	protein_coding	-	5459
chr1	11261221	11263556	MTOR	MTOR	DRIVER	False	protein_coding	-	2335
chr1	12878211	12884410	PRAMEF4	PRAMEF4	PASSENGER	False	protein_coding	-	6199
chr1	12885146	12887201	PRAMEF4	PRAMEF4	PASSENGER	False	protein_coding	-	2055
chr1	15835094	15837885	SPEN	SPEN	DRIVER	True	protein_coding	+	2791
chr1	15846706	15849150	SPEN	SPEN	DRIVER	True	protein_coding	+	2444
chr1	15866878	15868976	SPEN	SPEN	DRIVER	True	protein_coding	+	2098
chr1	15871815	15877711	SPEN	SPEN	DRIVER	True	protein_coding	+	5896
chr1	15908320	15912301	SPEN	SPEN	DRIVER	True	protein_coding	+	3981
chr1	15915127	15917279	SPEN	SPEN	DRIVER	True	protein_coding	+	2152
chr1	15917925	15923349	SPEN	SPEN	DRIVER	True	protein_coding	+	5424
chr1	15927090	15941456	SPEN	SPEN	DRIVER	True	protein_coding	+	14366
chr1	19073509	19083240	UBR4	UBR4	DRIVER	True	protein_coding	-	9731
chr1	19083503	19089977	UBR4	UBR4	DRIVER	True	protein_coding	-	6474
chr1	19091732	19098280	UBR4	UBR4	DRIVER	True	protein_coding	-	6548
chr1	19098596	19102641	UBR4	UBR4	DRIVER	True	protein_coding	-	4045
chr1	19103083	19107966	UBR4	UBR4	DRIVER	True	protein_coding	-	4883
chr1	19109095	19130074	UBR4	UBR4	DRIVER	True	protein_coding	-	20979
chr1	19137006	19142777	UBR4	UBR4	DRIVER	True	protein_coding	-	5771
chr1	19142979	19158997	UBR4	UBR4	DRIVER	True	protein_coding	-	16018
chr1	19159110	19180220	UBR4	UBR4	DRIVER	True	protein_coding	-	21110
chr1	19182810	19188540	UBR4	UBR4	DRIVER	True	protein_coding	-	5730
chr1	19191187	19194557	UBR4	UBR4	DRIVER	True	protein_coding	-	3370
chr1	19196140	19202815	UBR4	UBR4	DRIVER	True	protein_coding	-	6675
chr1	19209072	19211266	UBR4	UBR4	DRIVER	True	protein_coding	-	2194
chr1	21821243	21825779	HSPG2	HSPG2	DRIVER	False	protein_coding	-	4536
chr1	21826862	21858385	HSPG2	HSPG2	DRIVER	False	protein_coding	-	31523
chr1	21858565	21866809	HSPG2	HSPG2	DRIVER	False	protein_coding	-	8244
chr1	21867884	21882502	HSPG2	HSPG2	DRIVER	False	protein_coding	-	14618
chr1	21883527	21891694	HSPG2	HSPG2	DRIVER	False	protein_coding	-	8167
chr1	21894921	21897310	HSPG2	HSPG2	DRIVER	False	protein_coding	-	2389
chr1	21936154	21938310	HSPG2	HSPG2	DRIVER	False	protein_coding	-	2156
chr1	26692235	26698540	ARID1A	ARID1A	DRIVER	False	protein_coding	+	6305
chr1	26726707	26733792	ARID1A	ARID1A	DRIVER	False	protein_coding	+	7085
chr1	26751951	26754241	ARID1A	ARID1A	DRIVER	False	protein_coding	+	2290
chr1	26759855	26776956	ARID1A	ARID1A	DRIVER	False	protein_coding	+	17101
chr1	26777098	26783104	ARID1A	ARID1A	DRIVER	False	protein_coding	+	6006
chr1	39080315	39085438	MACF1	MACF1	DRIVER	True	protein_coding	+	5123
chr1	39101702	39106717	MACF1	MACF1	DRIVER	True	protein_coding	+	5015
chr1	39157863	39160020	MACF1	MACF1	DRIVER	True	protein_coding	+	2157
chr1	39203694	39207957	MACF1	MACF1	DRIVER	True	protein_coding	+	4263
chr1	39214261	39216429	MACF1	MACF1	DRIVER	True	protein_coding	+	2168
chr1	39230181	39232243	MACF1	MACF1	DRIVER	True	protein_coding	+	2062
chr1	39249013	39252941	MACF1	MACF1	DRIVER	True	protein_coding	+	3928
chr1	39253297	39255648	MACF1	MACF1	DRIVER	True	protein_coding	+	2351
chr1	39256935	39262760	MACF1	MACF1	DRIVER	True	protein_coding	+	5825
chr1	39267464	39270720	MACF1	MACF1	DRIVER	True	protein_coding	+	3256
chr1	39281207	39288613	MACF1	MACF1	DRIVER	True	protein_coding	+	7406
chr1	39290909	39301362	MACF1	MACF1	DRIVER	True	protein_coding	+	10453
chr1	39301923	39304536	MACF1	MACF1	DRIVER	True	protein_coding	+	2613
chr1	39308569	39312000	MACF1	MACF1	DRIVER	True	protein_coding	+	3431
chr1	39314512	39329706	MACF1	MACF1	DRIVER	True	protein_coding	+	15194
chr1	39330137	39338331	MACF1	MACF1	DRIVER	True	protein_coding	+	8194
chr1	39339501	39341953	MACF1	MACF1	DRIVER	True	protein_coding	+	2452
chr1	39345976	39354231	MACF1	MACF1	DRIVER	True	protein_coding	+	8255
chr1	39354546	39362677	MACF1	MACF1	DRIVER	True	protein_coding	+	8131
chr1	39367147	39371186	MACF1	MACF1	DRIVER	True	protein_coding	+	4039
chr1	39371478	39374473	MACF1	MACF1	DRIVER	True	protein_coding	+	2995
chr1	39377460	39383152	MACF1	MACF1	DRIVER	True	protein_coding	+	5692
chr1	39384433	39389658	MACF1	MACF1	DRIVER	True	protein_coding	+	5225
chr1	39390867	39392955	MACF1	MACF1	DRIVER	True	protein_coding	+	2088
chr1	39408502	39415477	MACF1	MACF1	DRIVER	True	protein_coding	+	6975
chr1	39421373	39425194	MACF1	MACF1	DRIVER	True	protein_coding	+	3821
chr1	39426454	39445835	MACF1	MACF1	DRIVER	True	protein_coding	+	19381
chr1	39446431	39471830	MACF1	MACF1	DRIVER	True	protein_coding	+	25399
chr1	39477660	39482030	MACF1	MACF1	DRIVER	True	protein_coding	+	4370
chr1	39482129	39488177	MACF1	MACF1	DRIVER	True	protein_coding	+	6048
chr1	62193848	62197528	L1TD1	L1TD1	PASSENGER	False	protein_coding	+	3680
chr1	62205518	62208636	L1TD1	L1TD1	PASSENGER	False	protein_coding	+	3118
chr1	62208782	62213328	L1TD1	L1TD1	PASSENGER	False	protein_coding	+	4546
chr1	69566921	69569641	LRRC7	LRRC7	PASSENGER	True	protein_coding	+	2720
chr1	69677380	69679478	LRRC7	LRRC7	PASSENGER	True	protein_coding	+	2098
chr1	69715141	69717218	LRRC7	LRRC7	PASSENGER	True	protein_coding	+	2077
chr1	69759174	69761393	LRRC7	LRRC7	PASSENGER	True	protein_coding	+	2219
chr1	69791042	69793160	LRRC7	LRRC7	PASSENGER	True	protein_coding	+	2118
chr1	69824747	69826826	LRRC7	LRRC7	PASSENGER	True	protein_coding	+	2079
chr1	69833779	69835869	LRRC7	LRRC7	PASSENGER	True	protein_coding	+	2090
chr1	69837226	69839283	LRRC7	LRRC7	PASSENGER	True	protein_coding	+	2057
chr1	69872466	69876004	LRRC7	LRRC7	PASSENGER	True	protein_coding	+	3538
chr1	69930506	69932570	LRRC7	LRRC7	PASSENGER	True	protein_coding	+	2064
chr1	69979378	69981453	LRRC7	LRRC7	PASSENGER	True	protein_coding	+	2075
chr1	69985241	69987386	LRRC7	LRRC7	PASSENGER	True	protein_coding	+	2145
chr1	69993560	69995633	LRRC7	LRRC7	PASSENGER	True	protein_coding	+	2073
chr1	70010796	70014089	LRRC7	LRRC7	PASSENGER	True	protein_coding	+	3293
chr1	70015464	70017534	LRRC7	LRRC7	PASSENGER	True	protein_coding	+	2070
chr1	70017718	70019818	LRRC7	LRRC7	PASSENGER	True	protein_coding	+	2100
chr1	70020004	70024374	LRRC7	LRRC7	PASSENGER	True	protein_coding	+	4370
chr1	70027170	70029371	LRRC7	LRRC7	PASSENGER	True	protein_coding	+	2201
chr1	70035120	70040793	LRRC7	LRRC7	PASSENGER	True	protein_coding	+	5673
chr1	70042953	70045094	LRRC7	LRRC7	PASSENGER	True	protein_coding	+	2141
chr1	70052025	70054145	LRRC7	LRRC7	PASSENGER	True	protein_coding	+	2120
chr1	70075076	70077298	LRRC7	LRRC7	PASSENGER	True	protein_coding	+	2222
chr1	70088726	70090819	LRRC7	LRRC7	PASSENGER	True	protein_coding	+	2093
chr1	70106749	70108826	LRRC7	LRRC7	PASSENGER	True	protein_coding	+	2077
chr1	70120777	70145364	LRRC7	LRRC7	PASSENGER	True	protein_coding	+	24587
chr1	70146026	70149005	LRRC7	LRRC7	PASSENGER	True	protein_coding	+	2979
chr1	70150747	70152945	LRRC7	LRRC7	PASSENGER	True	protein_coding	+	2198
chr1	74234386	74237210	TNNI3K	TNNI3K	PASSENGER	False	protein_coding	+	2824
chr1	74248458	74251769	TNNI3K	TNNI3K	PASSENGER	False	protein_coding	+	3311
chr1	74270597	74272708	TNNI3K	TNNI3K	PASSENGER	False	protein_coding	+	2111
chr1	74330449	74332548	TNNI3K	TNNI3K	PASSENGER	False	protein_coding	+	2099
